"","est","se","gr","cv"
"lnB0_p",4.51602128209451,0.226573623228063,0.06616583224298,0.0501710707445956
"lnRbar_p",8.04748718343991,0.136980504646352,-0.124306768700902,0.0170215250455111
"lnm1",0.95909038261511,0.257805489688345,-0.107082567405695,0.268802079930567
"fDevs_ap",0.725959184712821,0.250347227859317,-4.95010938253063e-05,0.344850279645337
"fDevs_ap.1",0.555427046007896,0.208745037652131,-0.000112046200837121,0.375828003249888
"fDevs_ap.2",0.592122726338185,0.224916285288823,5.58705679417519e-05,0.379847412173746
"fDevs_ap.3",0.0280690658508666,0.27851371719172,-4.12059257382304e-05,9.92244339984406
"fDevs_ap.4",-1.71900051131997,0.656653123144006,-5.20428524846062e-05,0.38199704934339
"fDevs_ap.5",-1.32093006873039,0.714939786013415,-4.16176672636203e-05,0.541239693862505
"fDevs_ap.6",-0.966594714213412,0.771529650487831,-2.79133915926396e-05,0.798193533590425
"fDevs_ap.7",-0.681935086014114,0.823132188180292,-1.33576421991476e-05,1.20705358187606
"fDevs_ap.8",-0.444733802441635,0.871878093167248,3.24140802409305e-06,1.96044934830801
"fDevs_ap.9",-0.513102630244997,0.86887477935353,-1.84717757602585e-05,1.69337424549677
"lnSelAlpha_g",1.00423891668849,0.00909333269835262,0.00367334890219753,0.00905494952171163
"lnSelAlpha_g.1",1.03252018553259,0.00772656267731954,0.0117802951109306,0.00748320738478738
"lnSelAlpha_g.2",1.51983356269093,0.00751015254640992,-0.109817074521052,0.00494143091110113
"lntauObsComb_pg",-1.02791004634706,0.152878185867319,6.79461698656789e-05,0.14872720274562
"lntauObsComb_pg.1",-1.28543391702584,0.163700896909768,-2.55380542888285e-05,0.12735069048787
"recDevs_pt",0.123417060867552,0.0470681327975087,0.0002861102971079,0.381374604666861
"recDevs_pt.1",0.0432883405497474,0.0469237485675596,0.000218009974585431,1.08398122847039
"recDevs_pt.2",-0.0998149842417328,0.0466734386248985,0.000197119524448564,0.467599519044799
"recDevs_pt.3",-0.152939695986056,0.0485791988391315,0.000212147267740992,0.317636297927261
"recDevs_pt.4",-0.0732485995803164,0.0485306663582082,0.000289344999791386,0.662547361127292
"recDevs_pt.5",0.058769077359174,0.0439599921557935,0.000579355847404317,0.748012290326202
"recDevs_pt.6",0.0138905162876236,0.0449913728636876,0.000533842012137686,3.2389993238606
"recDevs_pt.7",-0.115192976021586,0.0544315806384078,0.00033891763079863,0.472525170529564
"recDevs_pt.8",0.0853435125094358,0.0519888266797767,0.00106300846950025,0.609171396291296
"recDevs_pt.9",0.0400677629274349,0.0509188992467705,0.00109933876217383,1.2708196197274
"recDevs_pt.10",0.0384422992883628,0.0485960463806967,0.00140142991784642,1.26412954688711
"recDevs_pt.11",-0.109772878055452,0.0551105849389247,0.00102333225021134,0.50204190611715
"recDevs_pt.12",-0.155929366690428,0.0688248088319762,0.000754641634060693,0.441384521035198
"recDevs_pt.13",-0.0788409238440932,0.0764201768971137,0.00190980138426333,0.969295806936933
"recDevs_pt.14",-0.202946876205059,0.0996283008261273,0.00346646093872405,0.490908274564729
"recDevs_pt.15",-0.269935404704457,0.100339294590184,0.00424339746702307,0.371715947006072
"recDevs_pt.16",-0.128538427884376,0.058600472320966,0.00176365810888734,0.455898467761555
"recDevs_pt.17",-0.113872718017362,0.053720245765798,0.00450280034327344,0.471756946713149
"recDevs_pt.18",-0.183342725558586,0.0551380880732757,-0.00507873573792983,0.300737800778775
"recDevs_pt.19",-0.199323526727115,0.0540518171698506,0.00552411367543959,0.271176303456895
"recDevs_pt.20",-0.147016998342172,0.0521521191768607,-0.00603454071910958,0.354735301121306
"recDevs_pt.21",-0.0763716043109055,0.0479574648735406,-0.0111148657350162,0.62794889941434
"recDevs_pt.22",-0.164364916983562,0.0481169109390627,0.00300831550028757,0.292744411776601
"recDevs_pt.23",-0.0286367191027003,0.0468770049786252,-0.00950434081849272,1.63695445733534
"recDevs_pt.24",-0.0509751443259887,0.0468381774654395,-0.00873686759647674,0.918843449778325
"recDevs_pt.25",-0.207779145451211,0.0486113823299562,-0.00737480139111524,0.233956984587612
"recDevs_pt.26",-0.084079023406967,0.0484558927883787,-0.0152284271999292,0.576313696626067
"recDevs_pt.27",-0.141030404313423,0.0474433234411651,-0.0125918192323953,0.336404931065276
"recDevs_pt.28",-0.155063636445241,0.048762195103573,-0.0194236256153966,0.314465700801444
"recDevs_pt.29",-0.182507543347199,0.0509052946976624,-0.0167771015699612,0.278921592850665
"recDevs_pt.30",-0.232654522850932,0.0545759945295009,-0.00557491724052595,0.234579555388525
"recDevs_pt.31",-0.165290864368672,0.0525141575105981,-0.00977542073209614,0.317707561825487
