"","est","se","gr","cv"
"lnB0_p",4.55651563328347,0.210861080085916,0.0468478665467214,0.0462768257713552
"lnRbar_p",8.06016503903892,0.13127656070222,-0.102134829874164,0.0162870809799042
"lnm1",1.1293390295249,0.282394901769252,-0.0698756030660695,0.25005325627332
"fDevs_ap",0.711451105520126,0.263721522541744,-7.67421119974138e-05,0.370681162058133
"fDevs_ap.1",0.541721683564029,0.224174053987884,-0.000151991364391843,0.413817760649759
"fDevs_ap.2",0.56735693962822,0.230464912120958,0.00013929406437231,0.406207972483738
"fDevs_ap.3",0.00249920121868794,0.275324840245236,9.80646199501664e-06,110.165135238602
"fDevs_ap.4",-1.73917127007831,0.64456818530746,-3.08212217298492e-06,0.370618004331705
"fDevs_ap.5",-1.33752289903524,0.702232784524735,-3.67866582459478e-06,0.52502486875646
"fDevs_ap.6",-0.979648046101861,0.759825070860032,-7.37810985233069e-06,0.77561025501298
"fDevs_ap.7",-0.691581785071078,0.813593267055461,-1.32261668938376e-05,1.17642379342285
"fDevs_ap.8",-0.451456492313405,0.86525740960705,-2.03701782469617e-05,1.91659091039581
"fDevs_ap.9",-0.519046062635772,0.858045514365995,-2.55991901193454e-05,1.65312016819614
"lnSelAlpha_g",1.00495814842477,0.00907780606959215,0.0039284385729659,0.00903301902056445
"lnSelAlpha_g.1",1.03322193753717,0.0076976435108768,0.0115982243247844,0.00745013557225203
"lnSelAlpha_g.2",1.52015724880011,0.00752294957896587,-0.109677334036506,0.00494879696485603
"lntauObsComb_pg",-1.0349050138853,0.153904155108602,-2.32988787123187e-05,0.148713314790896
"lntauObsComb_pg.1",-1.28460561675756,0.166431571293134,0.000127374889995172,0.129558495714209
"recDevs_pt",0.127483110617989,0.0482776837504023,-5.2007883525107e-05,0.378698664602477
"recDevs_pt.1",0.0472196844949628,0.047858011277359,-8.52614104696059e-05,1.01351823480448
"recDevs_pt.2",-0.0983146816455517,0.0473972782113302,-1.84560298142067e-05,0.482097662505879
"recDevs_pt.3",-0.153175443461318,0.04909726033248,3.16176748382802e-06,0.320529578521369
"recDevs_pt.4",-0.0743451948364562,0.0491900586729284,0.000101177301586652,0.661644088513536
"recDevs_pt.5",0.0583540069270215,0.044681469784402,0.000248588154005969,0.765696687123499
"recDevs_pt.6",0.0147043973667049,0.045657599078796,0.000291526957756361,3.10503028040975
"recDevs_pt.7",-0.112677865322148,0.0551965410019057,0.000224857078260587,0.489861436796818
"recDevs_pt.8",0.0890095383329735,0.0533079731521469,0.00063258302132696,0.598901804801283
"recDevs_pt.9",0.0423835448852171,0.052033983416707,0.000773924164125805,1.22769304827204
"recDevs_pt.10",0.0390349752509809,0.0494272783428801,0.00108360330813029,1.26623055413973
"recDevs_pt.11",-0.109765148387287,0.0558407379691548,0.0008148663249683,0.508729216783187
"recDevs_pt.12",-0.15718222916639,0.0695755474169201,0.000778873902855359,0.442642579799966
"recDevs_pt.13",-0.0812871029016076,0.0773040435689722,0.00181337030439677,0.951000107145452
"recDevs_pt.14",-0.207405534931585,0.0997787054359709,0.00357120543491352,0.481080244405646
"recDevs_pt.15",-0.2820933234172,0.10160478979546,0.00414590513133728,0.36018147669944
