"","est","se","gr","cv"
"lnB0_p",4.64857176136312,0.095137836860682,-6.36124096527332e-05,0.0204660359664501
"lnRbar_p",7.93470183769055,0.126149003053028,-0.0493235210742182,0.0158983923572035
"lnM",-0.480990656379762,0.275352461376993,0.173438539612075,0.572469460112736
"fDevs_ap",0.481727361464606,0.357047429958318,2.45408905306194e-05,0.741181544832286
"fDevs_ap.1",0.41955103219863,0.400041751396124,-4.56342622399198e-05,0.953499623871095
"fDevs_ap.2",0.482726516020666,0.330919729480861,2.41093902328821e-05,0.685522171453896
"fDevs_ap.3",-0.13610072093243,0.327882341793797,-2.44592049645196e-05,2.40911539297857
"fDevs_ap.4",-2.02772191479002,0.64773889048102,7.40204883494148e-06,0.319441677754958
"fDevs_ap.5",-1.57528970824889,0.696138275864532,5.79709824094497e-06,0.441911270174149
"fDevs_ap.6",-1.16896008659675,0.748211402733453,5.81931568716465e-06,0.640065825439567
"fDevs_ap.7",-0.838258910689669,0.799800495263291,5.71750383170599e-06,0.954121077705292
"fDevs_ap.8",-0.55804533934226,0.851952990627607,5.00113425295558e-06,1.52667342698671
"fDevs_ap.9",-0.654468118242263,0.836209582482326,4.59967741628664e-06,1.27769338058541
"lnSelAlpha_g",0.998521843275994,0.00961807011803437,0.00297646531884042,0.00963230817913706
"lnSelAlpha_g.1",1.03289248936085,0.00770257825153186,0.012852067151912,0.00745728943803067
"lnSelAlpha_g.2",1.51899316805097,0.00733885695167914,-0.109641584482509,0.00483139562839223
"lntauObsComb_pg",-1.06176727285303,0.155700273262568,-8.98907137917737e-05,0.146642562116453
"lntauObsComb_pg.1",-1.3514856804168,0.162679533354044,0.000115392285180141,0.120370889393274
"recDevs_pt",0.111812162223622,0.0620595045177679,-0.000208367130974052,0.555033578490776
"recDevs_pt.1",0.0138001257701993,0.0580753509518974,-0.000167372879172678,4.20832041091309
"recDevs_pt.2",-0.156042642295184,0.0567297021175813,-9.86856211229181e-05,0.363552560269176
"recDevs_pt.3",-0.226027977209375,0.0578535205942263,-4.31362656012624e-05,0.255957343460342
"recDevs_pt.4",-0.153348587592705,0.0604815459806691,2.67756902307958e-05,0.394405627923411
"recDevs_pt.5",0.0192337267773305,0.0538962383844462,6.46347471733311e-05,2.80217344295283
"recDevs_pt.6",-0.00928669249648632,0.0554835772820404,6.5054360186334e-05,5.97452508554935
"recDevs_pt.7",-0.158925012522144,0.0665007843420632,4.91422003303654e-05,0.418441271683381
"recDevs_pt.8",0.0767981671885885,0.0639309877359023,0.000109691694387903,0.832454602450484
"recDevs_pt.9",0.0500678859416093,0.0615748216030706,8.40469710909897e-05,1.22982667322685
"recDevs_pt.10",0.0714013896869795,0.0603861475241939,0.000102483585177726,0.845727902340893
"recDevs_pt.11",-0.0814017871816842,0.068055898581951,5.47846403389229e-05,0.836049194227813
"recDevs_pt.12",-0.125729255531435,0.0842320886896811,3.1957722820497e-05,0.669948202060427
"recDevs_pt.13",-0.00117050944359584,0.0966073129501515,0.000237143211860857,82.5344156586821
"recDevs_pt.14",-0.133711517225491,0.125644285215644,0.00104892143469337,0.939666887510947
"recDevs_pt.15",-0.212702721546235,0.124992476999147,0.00243747059720834,0.587639293425672
"recDevs_pt.16",-0.0798335290475714,0.0742115914454074,-0.000391333699507612,0.92957924234047
"recDevs_pt.17",-0.0895816410913542,0.067281286446526,0.00289369528283334,0.751061106124563
"recDevs_pt.18",-0.196093504465169,0.068103319672653,-0.00427475105210284,0.347300232398825
"recDevs_pt.19",-0.23901017297089,0.0663145028077277,0.00530281143264588,0.277454729158347
"recDevs_pt.20",-0.190378432030978,0.0655787532681312,-0.00354914023874331,0.344465245188386
"recDevs_pt.21",-0.112930845031408,0.0612848579521618,-0.00599692857267353,0.542675988434491
"recDevs_pt.22",-0.218377727716622,0.0597037249498851,0.00499290971754984,0.273396584780658
"recDevs_pt.23",-0.0521972163182906,0.0578233558661893,-0.00283733088264171,1.10778619904922
"recDevs_pt.24",-0.0676273625628585,0.058256907727055,-0.00142190947737797,0.861439889407282
"recDevs_pt.25",-0.242291821749281,0.0604667625985341,-0.0026307756249806,0.249561715133348
"recDevs_pt.26",-0.087037518618954,0.059445261185974,-0.00563400650140045,0.682984328243806
"recDevs_pt.27",-0.136645351648355,0.0576011329608927,-0.00376474845194874,0.421537449068332
"recDevs_pt.28",-0.135300584840224,0.0582170967600513,-0.00934943371810082,0.430279712602865
"recDevs_pt.29",-0.155105431382883,0.0611887186309847,-0.00792134524652344,0.394497588417379
"recDevs_pt.30",-0.221443268112252,0.0637831668628648,6.27733482345683e-05,0.288033894218597
"recDevs_pt.31",-0.14812766862165,0.0610891264281587,-0.00305470195841995,0.41240861343868
"recDevs_pt.32",-0.0480415811844609,0.0556157806065459,0.000206824413100382,1.15765924508194
"recDevs_pt.33",-0.269313552271424,0.0558121396704895,-0.0010489821407722,0.207238511392253
"recDevs_pt.34",-0.0388275257133662,0.0543762153880629,0.00306147573421489,1.40045533134099
"recDevs_pt.35",-0.375459558701786,0.0564531343549157,-0.000324873882373566,0.15035743010542
