"","scenario","mp","pBtGt.3B0","pBtGtUSR","pBtGthistAve","pBtGt.4B0","pBtGt.5B0","pBtGt.6B0","pBtGt.4Bmsy","pBtGt.8Bmsy","pBtGtBmsy","pUtGtUmsy","avgCatch_t","catchAAV","BnT","DnT","aveDep"
"1","SOG_Mb.532_h.75","maxTHR_0",0.911,0.654,0.617,0.873,0.819,0.749,0.95,0.88,0.83,0,0,0,100.144,1.094,1.026
"2","SOG_Mb.532_h.75","maxTHR_0.02",0.894,0.607,0.569,0.843,0.781,0.705,0.94,0.85,0.8,0.002,2112.1,21.1,92.218,1.007,0.962
"3","SOG_Mb.532_h.75","maxTHR_0.04",0.874,0.561,0.518,0.815,0.744,0.663,0.92,0.83,0.76,0.016,4055.4,22.1,84.668,0.925,0.902
"4","SOG_Mb.532_h.75","maxTHR_0.06",0.85,0.512,0.473,0.771,0.698,0.619,0.91,0.79,0.72,0.059,5801.8,23.1,76.558,0.836,0.844
"5","SOG_Mb.532_h.75","maxTHR_0.08",0.81,0.459,0.417,0.732,0.64,0.561,0.88,0.75,0.66,0.142,7344.8,24.6,69.261,0.757,0.778
"6","SOG_Mb.532_h.75","maxTHR_0.1",0.785,0.42,0.379,0.698,0.614,0.533,0.87,0.71,0.63,0.277,8778.3,27.3,62.154,0.679,0.728
"7","SOG_Mb.532_h.75","maxTHR_0.12",0.751,0.379,0.35,0.656,0.569,0.485,0.85,0.67,0.59,0.441,9953.6,29.2,56.307,0.615,0.681
"8","SOG_Mb.532_h.75","maxTHR_0.14",0.712,0.345,0.313,0.614,0.536,0.437,0.82,0.63,0.55,0.569,11016.8,31.1,50.828,0.555,0.636
"9","SOG_Mb.532_h.75","maxTHR_0.16",0.679,0.315,0.293,0.579,0.492,0.399,0.79,0.6,0.51,0.649,11978.7,33,47.025,0.514,0.597
"10","SOG_Mb.532_h.75","maxTHR_0.18",0.649,0.3,0.27,0.55,0.461,0.365,0.76,0.57,0.48,0.721,13258.4,33.9,42.818,0.468,0.566
"11","SOG_Mb.532_h.75","maxTHR_0.2",0.621,0.279,0.247,0.518,0.423,0.349,0.75,0.54,0.45,0.763,14220.8,35.9,39.027,0.426,0.538
"12","SOG_Mb.562_h.65","maxTHR_0",0.942,0.677,0.623,0.903,0.851,0.789,0.97,0.9,0.85,0,0,0,103.375,1.171,1.071
"13","SOG_Mb.562_h.65","maxTHR_0.02",0.929,0.637,0.586,0.883,0.822,0.759,0.96,0.88,0.82,0.003,2131.3,19.3,95.615,1.083,1.017
"14","SOG_Mb.562_h.65","maxTHR_0.04",0.9,0.575,0.53,0.844,0.781,0.705,0.93,0.84,0.78,0.027,4104.9,20.2,87.59,0.993,0.945
"15","SOG_Mb.562_h.65","maxTHR_0.06",0.877,0.532,0.487,0.813,0.745,0.657,0.93,0.81,0.74,0.091,5940.3,21.7,80.493,0.912,0.887
"16","SOG_Mb.562_h.65","maxTHR_0.08",0.847,0.49,0.44,0.781,0.701,0.619,0.92,0.78,0.7,0.227,7637.2,22.8,74.206,0.841,0.835
"17","SOG_Mb.562_h.65","maxTHR_0.1",0.811,0.444,0.395,0.734,0.655,0.567,0.88,0.73,0.65,0.41,9163.6,24.8,66.653,0.755,0.768
"18","SOG_Mb.562_h.65","maxTHR_0.12",0.791,0.409,0.361,0.705,0.616,0.544,0.86,0.7,0.61,0.559,10662.1,26.2,61.51,0.697,0.734
