"","mp","pBtGt.3B0","pBtGtUSR","pBtGthistAve","pBtGt.4B0","pBtGt.5B0","pBtGt.6B0","pBtGt.4Bmsy","pBtGt.8Bmsy","pBtGtBmsy","pUtGtUmsy","avgCatch_t","catchAAV","BnT","DnT","aveDep","omWt"
"1","maxTHR_0",0.925095,0.66226,0.604655,0.88523,0.833765,0.76457,0.96835,0.90495,0.87,0,0,0,99.5291,1.103335,1.024095,1
"2","maxTHR_0.02",0.909395,0.61386,0.557265,0.862725,0.803065,0.726405,0.95495,0.8866,0.84495,0.001835,2123.804,20.437,92.325095,1.022965,0.967065,1
"3","maxTHR_0.04",0.88719,0.559315,0.503225,0.83255,0.760695,0.680695,0.94,0.86155,0.8099,0.010805,4092.344,21.3535,85.323475,0.945585,0.904695,1
"4","maxTHR_0.06",0.86218,0.510655,0.45707,0.797415,0.718675,0.638125,0.9266,0.83495,0.77495,0.03756,5911.4245,22.504,78.2137,0.866615,0.848715,1
"5","maxTHR_0.08",0.834675,0.46447,0.411625,0.76458,0.67922,0.5932,0.91155,0.8066,0.73495,0.09243,7580.0835,23.6845,72.16457,0.799905,0.79689,1
"6","maxTHR_0.1",0.81059,0.425965,0.372345,0.72752,0.64458,0.551345,0.89495,0.77165,0.69825,0.17492,9126.6805,25.5875,65.804785,0.729355,0.74828,1
"7","maxTHR_0.12",0.782045,0.38855,0.34153,0.696045,0.60151,0.511685,0.8799,0.73825,0.66495,0.27631,10528.9425,27.1235,60.38397,0.66918,0.706085,1
"8","maxTHR_0.14",0.7479,0.354495,0.310795,0.663145,0.56289,0.47299,0.86165,0.71,0.63,0.373575,11831.0475,29.376,55.181765,0.611385,0.66436,1
"9","maxTHR_0.16",0.718345,0.32228,0.283055,0.62114,0.52522,0.43591,0.8399,0.67155,0.5932,0.46229,12940.7995,31.0585,50.810355,0.562915,0.62489,1
"10","maxTHR_0.18",0.687605,0.295415,0.254405,0.582635,0.48953,0.398095,0.81155,0.64155,0.5598,0.542955,14076.0115,32.339,46.154835,0.51143,0.587695,1
"11","maxTHR_0.2",0.658305,0.27094,0.23195,0.55085,0.45691,0.374505,0.79825,0.6132,0.5232,0.60885,15214.1675,33.5515,42.452,0.47014,0.556405,1
